Link	New name	Change	Who Number	Last name	Prop Lists	Rec Lists	Locator name	French	Spanish	Russian	Arabic	Chinese	Phonetic	Molecular formula				"InchiKey


asdasd"					
https://mednet-communities.net/inn/db/ViewINN.aspx?i=1078	hydromorphinol		1078	hydromorphinol	11		hydromorphinol [INN]	hydromorphinol	hidromorfinol	?????????????	?????????????	????	hidromorfinol	C17H21NO4	hydromorphinol	CN1CC[C@@]23[C@H]4OC5=C2C(C[C@@H]1[C@]3(O)CC[C@@H]4O)=CC=C5O	1O00P9X5C1	AABLHGPVOULICI-BRJGLHKUSA-N	2183-56-4	C17H21NO4	HYDROMORPHINOL	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/AABLHGPVOULICI-BRJGLHKUSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=5641	eticlopride		5641	eticlopride	52	25	eticlopride [INN]	éticlopride	eticloprida	??????????	???????????	????	eticlopride	C17H25ClN2O3	eticlopride	CCN1CCC[C@H]1CNC(=O)C2=C(OC)C(Cl)=CC(CC)=C2O	J8M468HBH4	AADCDMQTJNYOSS-LBPRGKRZSA-N	84226-12-0	C17H25ClN2O3	ETICLOPRIDE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/AADCDMQTJNYOSS-LBPRGKRZSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4625	pirnabin		4625	pirnabin	41	19	pirnabin [INN]	pirnabine	pirnabina	????????	????????	???	pirnabin	C19H24O3	pirnabin	CC1CCC2=C(C1)C3=C(OC(C)=O)C=C(C)C=C3OC2(C)C	S3FHL03F60	AADNQNOXNWEYHS-UHFFFAOYSA-N	19825-63-9	C19H24O3	PIRNABINE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/AADNQNOXNWEYHS-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=8389	disermolide		8389	disermolide	89	51	disermolide [INN]	disermolide	disermolida	??????????	??????????	????	disermolide	C33H55NO8	disermolide	C[C@@H](C\C(C)=C/[C@H](C)[C@@H](O)[C@@H](C)\C=C/[C@@H](O)C[C@@H]1OC(=O)[C@H](C)[C@@H](O)[C@H]1C)[C@@H](O)[C@H](C)[C@@H](OC(N)=O)[C@@H](C)\C=C/C=C	DHG59994DN	AADVCYNFEREWOS-OBRABYBLSA-N	127943-53-7	C33H55NO8	DISERMOLIDE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/AADVCYNFEREWOS-OBRABYBLSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=2619	yohimbic acid		2619	yohimbic acid	21	9	yohimbic acid [INN]	acide yohimbique	ácido yohímbico	???????????? ???????	??? ????????	????	iohimbic iohimbate	C20H24N2O3	yohimbic acid	O[C@H]1CC[C@H]2CN3CCC4=C(NC5=C4C=CC=C5)[C@@H]3C[C@@H]2[C@H]1C(O)=O	35FAV1EVEG	AADVZSXPNRLYLV-GKMXPDSGSA-N	522-87-2	C20H24N2O3	YOHIMBIC ACID	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/AADVZSXPNRLYLV-GKMXPDSGSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=9908	dianhydrogalactitol		9908	dianhydrogalactitol	111	73	dianhydrogalactitol [INN]	dianhydrogalactitol	dianhidrogalactitol	???????????????????	??????????????????		String	C6H10O4	dianhydrogalactitol	O[C@@H]([C@@H](O)[C@@H]1CO1)[C@H]2CO2	4S465RYF7M	AAFJXZWCNVJTMK-FBXFSONDSA-N	23261-20-3	C6H10O4	DIANHYDROGALACTITOL	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/AAFJXZWCNVJTMK-FBXFSONDSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=8133	erlotinib		8133	erlotinib	85	47	erlotinib [INN]	erlotinib	erlotinib	?????????	??????????	????	erlotinib	C22H23N3O4	erlotinib	COCCOC1=C(OCCOC)C=C2C(NC3=CC(=CC=C3)C#C)=NC=NC2=C1	J4T82NDH7E	AAKJLRGGTJKAMG-UHFFFAOYSA-N	183321-74-6	C22H23N3O4	ERLOTINIB	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/AAKJLRGGTJKAMG-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4926	xenipentone		4926	xenipentone	44	21	xenipentone [INN]	xénipentone	xenipentona	???????????	???????????	?????	xenipentone	C17H16O	xenipentone	CC(=O)\C=C(/C)C1=CC=C(C=C1)C2=CC=CC=C2	GP581VM303	AAOLGDRTKZMLIG-OUKQBFOZSA-N	55845-78-8	C17H16O	XENIPENTONE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/AAOLGDRTKZMLIG-OUKQBFOZSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=1295	diazepam		1295	diazepam	"13, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113"	5	diazepam [INN]	diazépam	diazepam	????????	????????      	???	diazepam	C16H13ClN2O	diazepam	CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C3=CC=CC=C3	Q3JTX2Q7TU	AAOVKJBEBIDNHE-UHFFFAOYSA-N	439-14-5	C16H13ClN2O	DIAZEPAM	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/AAOVKJBEBIDNHE-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=460	fludrocortisone		460	fludrocortisone	6	3	fludrocortisone [INN]	fludrocortisone	fludrocortisona	??????????????	??????????????  	?????	fludrocortisone	C21H29FO5	fludrocortisone	C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO	U0476M545B	AAXVEMMRQDVLJB-BULBTXNYSA-N	127-31-1	C21H29FO5	FLUDROCORTISONE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/AAXVEMMRQDVLJB-BULBTXNYSA-N/SDF
