cid	formula	can_smiles
53471253	C10H12CrN5O10P2	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O.[Cr+3]
3082863	C10H22CrN6O17P3	[H+].C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])OP(=O)(NP(=O)([O-])[O-])[O-])O)O)NC(=NC2=O)N.O.O.O.O.[Cr+3]
3082678	C10H21CrN5O18P3	[H+].C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)NC(=NC2=O)N.O.O.O.O.[Cr+3]
3081569	C10H20CrN5O14P2	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O.O.O.O.O.[Cr+3]
11857179	C34H32CrN4O4	CC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)C)CCC(=O)[O-])CCC(=O)[O-])C)C=C)C)C=C.[Cr+2]
50897052	C34H32CrN4O4	CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C)CCC(=O)O)CCC(=O)O.[Cr+2]
472083	C34H32CrN4O4	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)CCC(=O)O)CCC(=O)O)C)C(=C3C)C=C)C=C.[Cr+2]
158488	C34H31CrN4O4	[H+].CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C)CCC(=O)[O-])CCC(=O)[O-].[Cr+3]
23650966	C11H9CrN2O3	C1=CC2=C(C=C1[O-])C(=C[N-]2)CC(C(=O)[O-])N.[Cr+3]
23650964	C11H9CrN2O2	C1=CC=C2C(=C1)C(=C[N-]2)CC(C(=O)[O-])[NH-].[Cr+3]
18996556	C8H10CrN4O2	CN1C=NC2=C1C(=O)N(C(=O)N2C)C.[Cr+2]
9877697	C6H7CrN3O2	C1=C(N=C[N-]1)CC(C(=O)[O-])N.[Cr+2]
4688171	C12H18CrN6O4	C1=C(NC=N1)CC(C(=O)[OH2+])[NH-].C1=C(NC=N1)CC(C(=O)[OH2+])[NH-].[Cr+5]
