cid	formula	can_smiles
9897472	C37H48CsN6O5S2	CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O.[Cs]
25253972	C17H18CsN3O3S	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC.[Cs+]
23708135	C7H6CsNO3	C1=CC(=C(C=C1N)O)C(=O)[O-].[Cs+]
23687517	C14H12CsN5O5S2	C=CC1=C(N2C(C(C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)[O-].[Cs+]
23674816	C7H6CsNO3	C1=CC(=C(C=C1N)[O-])C(=O)O.[Cs+]
23664953	C5H3CsN2O4	C1=C(NC(=O)NC1=O)C(=O)[O-].[Cs+]
24783646	C22H28CsFN3O6S	CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C.[Cs]
23689371	C30H45CsNO7P	CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)[O-])C3CCCCC3.[Cs+]
23661834	C30H45CsNO7P	CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)[O-])C3CCCCC3.[Cs+]
53339371	C9H11CsN2O6	C1=CN(C(=O)[N-]C1=O)C2C(C(C(O2)CO)O)O.[Cs+]
50943336	C23H33CsN6O8S2	CCCC1=NC(=C2N1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C.OS(=O)(=O)[O-].[Cs+]
23681231	C14H10Cl2CsNO2	C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Cs+]
54694606	C6H8CsO6	C(C(C1C(=C(C(=O)O1)O)O)O)O.[Cs+]
54670066	C6H8CsO6	C(C(C1C(=C(C(=O)O1)O)O)O)O.[Cs+]
22967389	C6H7CsO6	C(C(C1C(=C(C(=O)O1)O)[O-])O)O.[Cs+]
44610466	C16H17CsN5O11PS2	C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O.OP(=O)(O)[O-].[Cs+]
