cid	formula	can_smiles
11577987	C24H21AuClN2P	C1CCC2=C(P(C(=C2C1)C3=CC=CC=N3)C4=CC=CC=C4)C5=CC=CC=N5.[Cl-].[Au]
11570710	C24H21AuClN2P	C1CCC2=C(P(C(=C2C1)C3=CC=CC=N3)C4=CC=CC=C4)C5=CC=CC=N5.[Cl-].[Au+]
21150669	C6H12AuO5S	C(C1C(C(C(C(O1)S)O)O)O)O.[Au+]
54776358	C6H11AuO5S	C(C1C(C(C(C(O1)[S-])O)O)O)O.[Au+]
51371222	C6H11AuO5S	C(C1C(C(C(C(O1)[S-])O)O)O)O.[Au+]
44828483	C6H11AuO5S	C(C1C(C(C(C(O1)[S-])O)O)O)O.[Au+]
25075989	C6H11AuO5S	C(C1C(C(C(C(O1)[S-])O)O)O)O.[Au+]
16758184	C6H11AuO5S	C(C1C(C(C(C(O1)[S-])O)O)O)O.[Au+]
6916934	C6H11AuO5S	C(C1C(C(C(C(O1)[S-])O)O)O)O.[Au+]
6473835	C12H22AuO10S2	C(C1C(C(C(C(O1)[S-])O)O)O)O.C(C1C(C(C(C(O1)[S-])O)O)O)O.[Au+]
6102371	C6H11AuO5S	C(C1C(C(C(C(O1)[S-])O)O)O)O.[Au+]
4640670	C6H11AuO5S	C(C1C(C(C(C(O1)[S-])O)O)O)O.[Au+]
3032577	C6H11AuO5S	C(C1C(C(C(C(O1)[S-])O)O)O)O.[Au+]
454937	C6H11AuO5S	C(C1C(C(C(C(O1)[S-])O)O)O)O.[Au+]
6104	C6H11AuO5S	C(C1C(C(C(C(O1)[S-])O)O)O)O.[Au+]
5257728	C19H17AuCl4N2O	C1CC1CN2C(=O)CN=C(C3=C2C=CC(=C3)Cl)C4=CC=CC=C4.Cl[Au](Cl)Cl
50920860	C19H17AuCl4N2O	C1CC1CN2C(=O)CN=C(C3=C2C=CC(=C3)Cl)C4=CC=CC=C4.Cl[Au](Cl)Cl
54730650	C30H27Au3N6	C1=CC=C(C=C1)CN2C=CN=[C-]2.C1=CC=C(C=C1)CN2C=CN=[C-]2.C1=CC=C(C=C1)CN2C=CN=[C-]2.[Au+].[Au+].[Au+]
54729409	C30H27Au3N6	C1=CC=C(C=C1)CN2C=CN=[C-]2.C1=CC=C(C=C1)CN2C=CN=[C-]2.C1=CC=C(C=C1)CN2C=CN=[C-]2.[Au].[Au].[Au]
495386	C30H27Au3N6	C1=CC=C(C=C1)CN2C=CN=[C-]2.C1=CC=C(C=C1)CN2C=CN=[C-]2.C1=CC=C(C=C1)CN2C=CN=[C-]2.[Au].[Au].[Au]
374564	C30H27Au3N6	C1=CC=C(C=C1)CN2C=CN=[C-]2.C1=CC=C(C=C1)CN2C=CN=[C-]2.C1=CC=C(C=C1)CN2C=CN=[C-]2.[Au+].[Au+].[Au+]
9953685	C6H12AuNaO5S	C(C1C(C(C(C(O1)S)O)O)O)O.[Na+].[Au+]
22947639	C10H8AuN10	C1=NC2=C([N-]1)N=CN=C2N.C1=NC2=C([N-]1)N=CN=C2N.[Au+3]
22719162	C5H9AuNO3S	CC(=O)NC(CS)C(=O)O.[Au+]
18780386	C5H8AuNO3S	CC(=O)NC(CS)C(=O)[O-].[Au+]
54682314	C7H5AuO3	C1=CC=C(C(=C1)C(=O)O)[O-].[Au+]
4028291	C12H22AuN2O4	C1CCC(C1)(C(=O)[OH2+])[NH-].C1CCC(C1)(C(=O)[OH2+])[NH-].[Au+3]
19021120	C6H14AuN2O2	C(CCN)CC(C(=O)O)N.[Au+]
50911701	C12H22AuN2O4	C1CCC(C1)(C(=O)[OH2+])[NH-].C1CCC(C1)(C(=O)[OH2+])[NH-].[Au+3]
24191008	C12H22AuN2O4	C1CCC(C1)(C(=O)O)N.C1CCC(C1)(C(=O)O)N.[Au]
419776	C12H22AuN2O4	C1CCC(C1)(C(=O)O)N.C1CCC(C1)(C(=O)O)N.[Au]
23092861	C10H16AuN2O8	C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O.[Au+]
9976862	C12H8AuN2	C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.[Au+]
56848751	C6H12AuO7	C(C(C(C(C(C(=O)O)O)O)O)O)O.[Au+3]
19598970	C6H5Au3O7	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Au+].[Au+].[Au+]
19021119	C6H13AuNO2	CC(C)CC(C(=O)O)N.[Au+]
22719161	C3H7AuNO2S	C(C(C(=O)O)N)S.[Au+]
191978	C6H13AuN2O4S2	[H+].[H+].[H+].C(C(C(=O)[O-])N)[S-].C(C(C(=O)[O-])N)[S-].[Au]
6395769	C52H56AuP4	C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.[Au+]
6395529	C54H48AuP3	C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.[Au+]
54725668	C42H34Au2P2	C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=C[C-]=CC=[C-]1.[Au+].[Au+]
3764423	C24H20Au2P2	C1=CC=C(C=C1)[P-]C2=CC=CC=C2.C1=CC=C(C=C1)[P-]C2=CC=CC=C2.[Au].[Au]
19021124	C5H11AuNO2	CC(C)C(C(=O)O)N.[Au+]
18799111	C4H4Au2O6	C(C(C(=O)[O-])O)(C(=O)[O-])O.[Au+].[Au+]
15967117	C19H18AuP	[CH3-].C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[Au+]
15771146	C18H15AuP	C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[Au+]
11980691	C126H112Au8P7	C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.[Au].[Au].[Au].[Au].[Au].[Au].[Au].[Au]
11980588	C72H64AuP4	C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.[Au+]
11389062	C42H34Au2P2	C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=C[C-]=CC=[C-]1.[Au+].[Au+]
11251688	C42H34Au2P2	C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=C[C-]=C[C-]=C1.[Au+].[Au+]
10310892	C19H18AuP	[CH3-].C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[Au+]
50933958	C52H56AuP4	C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.[Au+]
